username,submission_week,function_summaries
memoriahu,6,"['abs', 'bigquery.Client', 'bigquery_client.query', 'data.set_index', 'df.pred.join.to_csv', 'fo.write', 'len', 'max', 'min', 'np.random.randint', 'np.random.uniform', 'o.to_csv', 'open', 'overall.describe', 'overall.head', 'pd.DataFrame', 'pd.merge', 'plt.bar', 'plt.figure', 'plt.grid', 'plt.plot', 'plt.scatter', 'plt.show', 'plt.title', 'plt.xlabel', 'plt.ylabel', 'pred.head', 'pred.insert', 'pred.join', 'pred.set_index', 'pred.set_index.join', 'pred.to_csv', 'print', 'query_job.to_dataframe', 'query_jobb.to_dataframe', 'sum']"
moonooooo,6,"['Decimal', 'Exception', 'a.to_integral_value', 'bigquery.Client', 'bigquery_client.query', 'd.split', 'd.split.split', 'd.value', 'd.values', 'data.append', 'data.fillna', 'data.fillna.iloc', 'data.to_string', 'data_less_10w.append', 'data_missing.append', 'data_missing.drop_duplicates', 'data_missing.head', 'df.drop', 'df.sort_index', 'df.sort_index.reset_index', 'display', 'enumerate', 'fill_week4_and_week23', 'format', 'import', 'int', 'iter', 'len', 'list', 'mae_loss', 'map', 'next', 'np.absolute', 'np.around', 'np.array', 'np.mean', 'np.rint', 'np.round', 'num_of_uuids.np.array.sum', 'pd.DataFrame', 'pd.DataFrame.from_dict', 'pd.read_csv', 'pl_query_job.to_dataframe', 'plot_visit_count', 'plt.axhline', 'plt.bar', 'plt.barh', 'plt.eventplot', 'plt.figure', 'plt.grid', 'plt.legend', 'plt.plot', 'plt.show', 'plt.text', 'plt.tight_layout', 'plt.title', 'plt.xlabel', 'plt.xticks', 'plt.ylabel', 'plt.yticks', 'pp.pprint', 'pp.print', 'pprint', 'pprint.PrettyPrinter', 'prediction_list.to_csv', 'print', 'query.bigquery_client.query.to_dataframe', 'query.bigquery_client.query.to_dataframe.head', 'query.bigquery_client.query.to_dataframe.to_string', 'query_all_total_claims', 'query_job.to_dataframe', 'query_job.to_dataframe.drop_duplicates', 'query_job.to_dataframe.drop_duplicates.to_numpy', 'query_job.to_dataframe.to_list', 'query_job.to_dataframe.to_numpy', 'range', 'raw_data_df_list.append', 'raw_total_claims_data.append', 'raw_total_claims_df.T.to_numpy', 'raw_total_claims_df.to_csv', 'result_to_csv.to_csv', 'round', 'row.np.array.mean', 'str', 'temp.head', 'temp.sort_index', 'temp.sort_index.reset_index', 'ten_35w_data.append', 'test.append', 'test.to_string', 'ud_query_job.to_dataframe', 'unemployement_data.columns', 'unemployement_data.columns.tolist', 'unemployement_data.head', 'unemployement_data.to_csv', 'unemployement_data.top', 'uuid.raw_total_claims_data.append', 'wage_data.head', 'wage_data.to_csv', 'warnings.filterwarnings', 'wd_query_job.to_dataframe', 'week_available.append', 'week_available.shape', 'week_number_count.T.style.hideIndex', 'week_number_count.T.style.hide_index', 'week_number_count.T.to_numpy', 'week_number_count.T.to_string', 'week_number_count.head', 'week_number_count.style.hide_index', 'week_number_count.to_dict', 'week_number_count.to_list', 'week_number_count.to_numpy', 'week_number_count.to_string', 'week_number_count_filled.append']"
nnonno,6,"['LinearRegression', 'bigquery.Client', 'bigquery_client.query', 'data.values.reshape', 'df.head', 'df1.plot', 'enumerate', 'enumerous', 'import', 'len', 'metrics.mean_absolute_error', 'metrics.mean_squared_error', 'np.sqrt', 'pd.DataFrame', 'pd.isna', 'pd.unique', 'plt.grid', 'plt.plot', 'plt.scatter', 'plt.show', 'prediction_list.copy', 'print', 'query_job.to_dataframe', 'regressor.fit', 'regressor.predict', 'train_test_split', 'unemployment_data.copy', 'unemployment_sample.drop', 'unemployment_sample.drop.to_numpy', 'unemployment_sample.drop.values.reshape', 'unemployment_sample.dropna', 'unemployment_sample.loc', 'unemployment_sample.to_numpy', 'wage_data.copy', 'wage_sample.drop', 'y_pred.flatten', 'y_test.flatten']"
oubotong,6,[]
raghu1996,6,"['A.score', 'ARIMA', 'ARIMA_model.plot_diagnostics', 'C_arr.append', 'GridSearchCV', 'Index', 'KNN_GV.fit', 'KNN_GV.score', 'KNeighborsClassifier', 'LabelEncoder', 'LinearRegression', 'MSE', 'OneHotEncoder', 'Print', 'R_arr.append', 'RandomForestRegressor', 'SARIMAX', 'SARIMAX_model.fit', 'SARIMA_model.plot_diagnostics', 'StandardScaler', 'X.astype', 'X.columns', 'X.drop', 'X_train.astype', 'X_train.columns', 'abs', 'actual.append', 'actual_nonstat.append', 'actual_stat.append', 'add.append', 'adfuller', 'ans.append', 'ans_df.sort_values', 'arange', 'auto_arima', 'bigquery.Client', 'bigquery_client.list_datasets', 'bigquery_client.list_tables', 'bigquery_client.query', 'boundary_week.data.data.loc.dropna', 'boundary_week.data.data.loc.item', 'boundary_week.data.uuid.data.data.loc.max', 'boundary_week.data.uuid.data.data.loc.min', 'check_stationary', 'client.list_tables', 'col.boundary_week.data.data.loc.asfloat', 'col.boundary_week.data.data.loc.astype', 'col.boundary_week.data.data.loc.dropna', 'col.boundary_week.data.data.loc.dropna.to_numpy', 'col.boundary_week.data.data.loc.dropna.to_numpy.reshape', 'col.boundary_week.data.data.loc.reshape', 'col.boundary_week.data.data.loc.reshape.astype', 'col.boundary_week.data.data.loc.to_numpy', 'col.boundary_week.data.data.loc.to_numpy.reshape', 'col.boundary_week.data.data.loc.values.reshape', 'col.boundary_week.data.data.loc.values.reshape.astype', 'col.data.diff', 'col.data.diff.dropna', 'col.data.dropna', 'col.df.isnull', 'col.df.isnull.sum', 'col.df.unique', 'col.merged_data.interpolate', 'col.merged_data.replace', 'col.ts_train.astype', 'cols.nextt.item', 'cols.prev.item', 'cols.train_data.fillna', 'cols.train_data.isnull', 'cols.train_data.isnull.sum', 'data.all', 'data.apply', 'data.asfreq', 'data.asfreq.fillna', 'data.astype', 'data.columns', 'data.data.loc.item', 'data.data.reset_index', 'data.diff', 'data.diff.apply', 'data.diff.diff', 'data.diff.dropna', 'data.diff.dropna.apply', 'data.drop', 'data.drop_duplicates', 'data.dropna', 'data.dtypes', 'data.head', 'data.interpolate', 'data.isna', 'data.isnull', 'data.isnull.sum', 'data.item', 'data.max', 'data.max.item', 'data.plot', 'data.rolling', 'data.rolling.mean', 'data.rolling.std', 'data.set_index', 'data.shift', 'data.unique', 'data.values', 'data.values.apply', 'data2.eq', 'data2.iterrows', 'dataBalanceCheck', 'dataExplore', 'dataFillNa', 'dataIdentifyDateMonth', 'data_filtered.corr', 'data_lastWeek.drop_duplicates', 'data_lastWeek.set_index', 'data_new.plot', 'data_pred.astype', 'data_pred.drop', 'data_pred.head', 'data_pred.set_index', 'data_pred.set_index.join', 'data_pred_query.copy', 'data_train.apply', 'data_train.asfreq', 'data_train.diff', 'data_train.diff.fillna', 'data_train.drop', 'data_train.fillna', 'data_train.get_dummies', 'data_train.group_by', 'data_train.group_by.interpolate', 'data_train.groupby', 'data_train.groupby.apply', 'data_train.groupby.interpolate', 'data_train.index.max', 'data_train.index.min', 'data_train.interpolate', 'data_train.max', 'data_train.reindex', 'data_train.set_index', 'data_train_x_m1.astype', 'data_train_y.astype', 'data_valid.drop', 'data_valid_x_m1.astype', 'datetime.datetime.strptime', 'datetime_list.append', 'decompose_data.plot', 'df.index.max', 'df.index.min', 'df_reindexed.fillna', 'df_reindexed.fillna.interpolate', 'df_reindexed.interpolate', 'diff_inv', 'encoder.fit', 'encoder.transform', 'entry_count.append', 'entry_count.sort', 'enumerate', 'err_arr.append', 'errors.np.isnan.sum', 'exog.data_train.fillna', 'exog_col.boundary_week.data.data.loc.dropna', 'final_output.assign', 'final_output.astype', 'final_output.rename', 'final_output.reset_index', 'final_output.to_csv', 'final_test_data.assign', 'final_test_data.copy', 'final_test_data.drop', 'final_test_data.dropna', 'final_test_data.isnull', 'final_test_data.isnull.sum', 'final_test_data.iterrows', 'float.ts_train.astype.reshape', 'float.ts_train.astype.reshape.shape', 'float.ts_train.astype.shape', 'float.ts_train.astype.to_numpy', 'float.ts_train.astype.to_numpy.shape', 'float.ts_train.to_numpy.astype.shape', 'forecast', 'forecast_col.boundary_week.data.data.loc.dropna', 'format', 'get_datetime', 'grid.fit', 'gridcv_xgb.predict', 'id.data.data.isnull', 'id.data.data.isnull.all', 'id.merged_data.merged_data.sort_values', 'id.ts_data.ts_data.ts_data.loc.unique', 'id.ts_data.unique.ts_data.ts_data.loc.unique', 'id1.data2.eq.any', 'idd.merged_data.merged_data.loc.copy', 'idd.merged_data.merged_data.sort_values', 'idd.merged_data.merged_data.unique', 'idd.ts_data.ts_data.sort_index', 'ids.merged_data.merged_data.loc.copy', 'ids.merged_data.merged_data.loc.diff', 'ids.merged_data.merged_data.loc.diff.diff', 'ids.merged_data.merged_data.loc.diff.diff.diff', 'ids.merged_data.merged_data.loc.diff.diff.diff.dropna', 'ids.merged_data.merged_data.loc.diff.diff.dropna', 'ids.merged_data.merged_data.loc.diff.dropna', 'import', 'int', 'itertools.product', 'le.fit', 'le.inverse_transform', 'le.inversetransform', 'le.transform', 'le_emp1.fit', 'le_emp1.transform', 'le_emp2.fit', 'le_emp2.transform', 'le_emp3.fit', 'le_emp3.transform', 'le_tractname.fit', 'le_tractname.transform', 'le_uuid.fit', 'le_uuid.inverse_transform', 'le_uuid.transform', 'len', 'list', 'loss', 'loss_arr.append', 'mape.isnull', 'mape.isnull.sum', 'mape.np.isnan.sum', 'max', 'max_week_no.data.data.item', 'max_week_no.data.data.loc.item', 'max_week_number.data.data.loc.item', 'max_week_number.item', 'max_week_number.ts_data.uuid.ts_data.ts_data.loc.item', 'merged_data.asfreq', 'merged_data.copy', 'merged_data.drop', 'merged_data.drop.drop_duplicates', 'merged_data.drop_duplicates', 'merged_data.dropna', 'merged_data.fillna', 'merged_data.head', 'merged_data.isnull', 'merged_data.isnull.sum', 'merged_data.merged_data.merged_data.loc.copy', 'merged_data.set_index', 'merged_data.sort_index', 'merged_data.unique', 'merged_data.uu_id.unique', 'merged_data.week_number.unique', 'min', 'mod.fit', 'model', 'model.fit', 'model.fit_transform', 'model.get_forecast', 'model.predict', 'model.score', 'new_data.asfreq', 'new_data.asfreq.dropna', 'new_data.asfreq.fillna', 'new_data.drop_duplicates', 'new_data.dropna', 'nextt.item', 'np.abs', 'np.antilog', 'np.arange', 'np.asarray', 'np.exp', 'np.floor', 'np.isnan', 'np.log', 'np.log.data_train.apply.fillna', 'np.log10', 'np.log10.data_train.apply.fillna', 'np.matrix', 'np.mean', 'np.nanmean', 'np.range', 'np.round', 'np.sqrt', 'np.sqrt.data_train.apply.fillna', 'np.where', 'np.zeros', 'onehot.fit_transform', 'out.unique', 'output.append', 'output_df.Metric.values', 'pd.DataFrame', 'pd.Dataframe', 'pd.DatetimeIndex', 'pd.Series', 'pd.concat', 'pd.date_range', 'pd.get_dummies', 'pd.merge', 'pd.series', 'pd.to_datetime', 'pd.unique', 'pdq.append', 'pdqs.append', 'plot_acf', 'plot_pacf', 'plt.axvline', 'plt.colorbar', 'plt.figure', 'plt.grid', 'plt.imshow', 'plt.legend', 'plt.plot', 'plt.savefig', 'plt.set_title', 'plt.show', 'plt.stem', 'plt.title', 'plt.xlabel', 'plt.xticks', 'plt.xtickslabels', 'plt.ylabel', 'plt.yticks', 'pm.auto_arima', 'poission_model.fit', 'pred.append', 'pred_df.iterrows', 'pred_nonstat.append', 'pred_stat.append', 'prediction.item', 'prediction_data.copy', 'prediction_data.head', 'prediction_data.iterrows', 'prediction_out.astype', 'prepocessing.LabelEncoder', 'preprocessing.LabelEncoder', 'prev.item', 'print', 'print_column_info', 'print_na_info', 'query_job.to_dataframe', 'query_job1.to_dataframe', 'query_job2.to_dataframe', 'query_job3.to_dataframe', 'query_job4.to_dataframe', 'query_job_pred.to_dataframe', 'r2_score', 'range', 'reg.fit', 'reg.predict', 'req.item', 'result.summary', 'rf.fit', 'rf.predict', 'rf1.fit', 'rf1.predict', 'rolling_mean.shift', 'round', 'row.item', 'row.item.pred_df.pred_df.loc.item', 'row.pred_df.pred_df.item', 'row.pred_df.pred_df.loc.item', 'sarimax_forecast', 'sarimax_gridsearch', 'scaler.fit', 'scaler.transform', 'seaborn.heatmap', 'seasonal_decompose', 'series.copy', 'series_undifferenced.cumsum', 'sm.GLM', 'sm.families.Poisson', 'sm.tsa.statespace.SARIMAX', 'start_week.ts_data.uuid.ts_data.ts_data.loc.copy', 'start_week_nonstat.ts_data.uuid.ts_data.ts_data.loc.copy', 'start_week_stat.ts_data.uuid.ts_data.ts_data.loc.copy', 'stat.append', 'str', 'test.drop', 'timeseries_data.head', 'timeseries_data.iterrows', 'timestamp_data.iterrows', 'tot_claims.append', 'total_claims.item', 'total_claims_list.append', 'train.drop', 'train_data.assign', 'train_data.drop', 'train_data.drop_na', 'train_data.dropna', 'train_data.eval', 'train_data.fillna', 'train_data.interpolate', 'train_data.isnull', 'train_data.isnull.sum', 'train_data.iterrows', 'train_data.sort_values', 'train_data.str.strip', 'train_data.unique', 'train_test_split', 'ts_data.asfreq', 'ts_data.drop_duplicates', 'ts_data.head', 'ts_data.rolling', 'ts_data.rolling.mean', 'ts_data.rolling.std', 'ts_data.sort_index', 'ts_data.unique', 'ts_data.uuid.ts_data.ts_data.loc.copy', 'ts_test.append', 'ts_test.ts_test.item', 'ts_test.ts_test.loc.item', 'ts_test_ex.astype', 'ts_train.astype', 'ts_train.drop_index', 'ts_train.max', 'ts_train.min', 'ts_train.numpy', 'ts_train.reset_index', 'ts_train.shape', 'ts_train.to_numpy', 'ts_train.to_numpy.astype', 'ts_train.to_numpy.shape', 'ts_train.values.astype', 'ts_train_ex.astype', 'ts_trainex.astype', 'unemployment_data.copy', 'unemployment_data.head', 'unemployment_data.unique', 'useful_data.astype', 'useful_data.drop', 'useful_data.fillna', 'useful_data.reshape', 'useful_data.to_numpy', 'useful_data.to_numpy.reshape', 'useful_data.toarray', 'useful_data.toarray.reshape', 'uu_id.ts_data.ts_data.rolling', 'uu_id.ts_data.ts_data.rolling.mean', 'uu_id_const.train_data.train_data.loc.unique', 'uu_id_const.vis_data.vis_data.loc.unique', 'uu_id_const.vis_data.week.vis_data.vis_data.loc.total_claims.item', 'uuid.ts_data.s_data.loc.rolling', 'uuid.ts_data.s_data.loc.rolling.std', 'uuid.ts_data.ts_data.loc.copy', 'uuid.ts_data.ts_data.loc.rolling', 'uuid.ts_data.ts_data.loc.rolling.mean', 'uuid.ts_data.ts_data.loc.rolling.std', 'uuid.ts_data.ts_data.loc.unique', 'uuid.ts_data.ts_data.rolling', 'uuid.ts_data.ts_data.rolling.mean', 'uuid_list.append', 'val.sort_values', 'val.val.rows', 'vals.items', 'values1.items', 'vis_data.append', 'vis_data.drop', 'vis_data.drop.drop_duplicates', 'vis_data.fillna', 'vis_data.isin', 'vis_data.isnull', 'vis_data.isnull.sum', 'vis_data.plot', 'vis_data.reset_index', 'vis_data.set_index', 'vis_data.set_index.reindex', 'vis_data.sort_values', 'vis_data.unique', 'vis_data.vis_data.loc.sort_values', 'vis_data.week_number.unique', 'wage_data.head', 'wage_data.unique', 'warnings.filterwarnings', 'warnings.simplefilter', 'week.data.data.reset_index', 'week_no_list.append', 'week_number.ts_data.uuid.ts_data.ts_data.loc.item', 'week_number.ts_data.uuid.ts_data.ts_data.loc.max', 'week_number_list.append', 'weeks.append', 'x.interpolate', 'xgb.XGBRegressor', 'y.astype', 'y.columns', 'y.isnull', 'y.isnull.sum', 'y.item', 'y.items', 'y.value', 'y.values', 'y_pred.conf_int', 'y_pred_df.data.data.loc.item', 'y_test.np.isnan.sum']"
reevapatel,6,"['LinearRegression', 'abs', 'bigquery.Client', 'bigquery_client.query', 'covid19_cases_data.head', 'data.corr', 'data.describe', 'data.drop', 'data.head', 'data.info', 'data.plot', 'data_3.drop', 'df.mean', 'final_training_data.drop', 'final_training_data.dropna', 'final_training_data.head', 'hash', 'import', 'max', 'min', 'model.fit', 'model.predict', 'np.cumsum', 'np.linspace', 'np.random.randn', 'pandas.DataFrame', 'pd.Series', 'pd.get_dummies', 'pd.to_datetime', 'plt.figure', 'plt.legend', 'plt.plot', 'plt.show', 'print', 'query_job.to_dataframe', 'sns.heatmap', 'y.plot', 'y_pred.plot']"
rithvikd24,6,"['bigquery.Client', 'bigquery_client.query', 'data.corr', 'data.head', 'import', 'np.cumsum', 'np.linspace', 'np.random.randn', 'pd.to_datetime', 'plt.figure', 'plt.legend', 'plt.plot', 'plt.show', 'prediction_data.head', 'print', 'query_job.to_dataframe', 'sns.heatmap', 'unemployment_data.head', 'wage_data.head']"
rpresent,6,"['bigquery.Client', 'bigquery_client.query', 'covid19_cases_data.head', 'import', 'prediction_list.head', 'prediction_list.to_csv', 'query_job.to_dataframe', 'unemployment_data.describe', 'unemployment_data.head', 'unemployment_data.summary', 'unemployment_data.total_claims.describe', 'unemployment_data.total_claims.summary', 'wage_data.head']"
saikrishna99-2dcreator,6,['import']
sanket1105,6,"['ARIMA', 'GridSearchCV', 'LinearRegression', 'MAPE', 'RandomForestRegressor', 'RandomizedSearchCV', 'X.copy', 'X2.apply', 'XGBRegressor', 'a.data.replace', 'a.data.str.replace', 'a.data.str.split', 'a.unique', 'bigquery.Client', 'bigquery_client.query', 'breakcolumn', 'data.copy', 'data.drop', 'data.head', 'data.info', 'data.isna', 'data.isna.sum', 'data.replace', 'data.replce', 'data.str.split', 'data.uu_id.head', 'data1.copy', 'data1.drop', 'data1.fillna', 'data1.head', 'data1.info', 'data1.nunique', 'data2.drop', 'data2.drop_duplicates', 'data2.groupby', 'data2.head', 'data2.index.nunique', 'data2.join', 'data2.nunique', 'data2.set_index', 'data2.unique', 'data2.uu_id.nunique', 'data2.uu_is.nunique', 'df.astype', 'df.convert_dtypes', 'df.dtype', 'df.fillna', 'df.info', 'df.str.split', 'df.type', 'df1.copy', 'df1.drop', 'df2.apply', 'df2.drop', 'df3.drop_duplicates', 'df3.head', 'final_data.head', 'final_prediction.drop', 'final_prediction.head', 'final_prediction.info', 'final_prediction.reset_index', 'future_weeks_pred.astype', 'grid_search.fit', 'grid_search.predict', 'i.data1.replace', 'import', 'int', 'iterator.mean', 'iterator.std', 'iterator.std.iterator.mean.iterator.round', 'k.first', 'k.head', 'k.isna', 'k.isna.sum', 'k.tail', 'k.uu_id.pd.unique.sum', 'label_encoder.fit_transform', 'len', 'linreg.fit', 'linreg.predict', 'list', 'max', 'max_depth.append', 'mean_squared_error', 'model.fit', 'np.abs', 'np.cumsum', 'np.linspace', 'np.mean', 'np.nunique', 'np.random.randn', 'np.round', 'pd.DataFrame', 'pd.merge', 'pd.nunique', 'pd.option_context', 'pd.set_option', 'pd.to_numeric', 'pd.unique', 'plt.figure', 'plt.legend', 'plt.plot', 'prediction.pd.DataFrame.head', 'prediction.set_index', 'prediction.to_csv', 'prediction.uu_id.nunique', 'preprocessing.LabelEncoder', 'print', 'query_job.to_dataframe', 'query_job_pred.to_dataframe', 'range', 'regressor.fit', 'regressor.predict', 'rf_random.fit', 'rfr.fit', 'rfr.predict', 'round', 'set', 'str.df.astype.astype', 'train_test_split', 'unemployment_data.copy', 'unemployment_data.drop_duplicates', 'unemployment_data.duplicated', 'unemployment_data.head', 'wage_data.drop_duplicates', 'wage_data.head', 'xgb.XGBRegressor', 'xgb_grid.fit', 'xgb_grid.predict']"
sawula,6,"['bigquery.Client', 'bigquery_client.query', 'covid19_cases_data.head', 'import', 'print', 'query_job.to_dataframe']"
sbrunswi,6,[]
shahryarbq,6,"['LinearRegression', 'OneHotEncoder', 'SimpleImputer', 'X.corr', 'X.head', 'X.pd.DataFrame.corr', 'X.pd.dataFrame.corr', 'X.pd.dataframe.corr', 'abs', 'ax.plot', 'ax.set_title', 'ax.set_xlabel', 'ax.set_ylabel', 'bigquery.Client', 'bigquery_client.query', 'cols_plot.data.plot', 'covid19_cases_data.head', 'data.corr', 'data.drop', 'data.head', 'data.plot', 'data.sample', 'data.set_index', 'data.shift', 'df.mean', 'enc.fit_transform', 'imp.fit_transform', 'import', 'information_data.head', 'len', 'max', 'min', 'model.fit', 'model.predict', 'np.cumsum', 'np.linspace', 'np.random.randn', 'pandas.DataFrame', 'pd.DataFrame', 'pd.Series', 'pd.dataFrame', 'pd.dataframe', 'pd.get_dummies', 'pd.to_datetime', 'plot_acf', 'plt.figure', 'plt.legend', 'plt.plot', 'plt.show', 'plt.subplots', 'prediction_data.head', 'print', 'query_job.to_dataframe', 'sns.boxplot', 'sns.heatmap', 'sns.set', 'unemployment_data.corr', 'unemployment_data.drop', 'unemployment_data.head', 'unemployment_data.set_index', 'wage_data.corr', 'wage_data.head', 'y.plot', 'y_pred.plot', 'zip']"
shangjia35,6,"['bigquery.Client', 'import', 'np.cumsum', 'np.linspace', 'np.random.randn', 'plt.figure', 'plt.legend', 'plt.plot', 'print']"
shlok2002,6,"['bigquery.Client', 'bigquery_client.query', 'df.describe', 'df.head', 'df.value_counts', 'df.value_counts.group', 'import', 'pd.set_option', 'query_job.to_dataframe']"
shuuul,6,"['bigquery.Client', 'import', 'plt.style.use', 'sns.set_style']"
sogunmod,6,"['np.cumsum', 'np.linspace', 'np.random.randn', 'print']"
souradipp76,6,[]
tame0001,6,"['bigquery.Client', 'bigquery_client.query', 'covid19_cases_data.head', 'data.head', 'df.mean', 'df.to_csv', 'get_data', 'import', 'int', 'len', 'np.cumsum', 'np.linspace', 'np.random.randn', 'pandas.DataFrame', 'pd.DataFrame', 'pd.Dataframe', 'plt.figure', 'plt.legend', 'plt.plot', 'pred._to_csv', 'pred.to_csv', 'pred.to_list', 'pred.to_list.apply', 'pred.to_numpy', 'pred.to_numpy.as_type', 'pred.to_numpy.astype', 'prediction_list.groupby', 'print', 'query_job.to_dataframe', 'sub.to_list', 'submission.head', 'type', 'unemploy.groupby', 'unemploy.groupby.apply', 'unemploy.groupby.get_group', 'unemploy.groupby.mean', 'unemploy.groupby.mean.apply', 'unemployment.head', 'unemployment.unemployment.sort_by', 'unemployment.unemployment.sort_values', 'unemployment.unemployment.sort_values.drop_duplicates', 'unemployment.unemployment.sort_values.ewm', 'unemployment.unemployment.sort_values.ewm.mean', 'unemployment.unemployment.sort_values.ewm.mean.dtype', 'unemployment.unemployment.sort_values.ewm.mean.tail', 'unemployment.unemployment.sort_values.ewm.mean.to_numpy', 'unemployment.unemployment.sort_values.mean', 'unemployment.unemployment.sort_values.mean.apply', 'unemployment.unemployment.sort_values.tail', 'unemployment.unemployment.sortby', 'wage.head', 'x.sort_values', 'x.sort_values.drop_duplicates', 'x.sort_values.drop_duplicates.ewm', 'x.sort_values.drop_duplicates.ewm.mean', 'x.sort_values.drop_duplicates.ewm.mean.to_numpy', 'x.sort_values.ewm', 'x.sort_values.ewm.mean', 'x.sort_values.ewm.mean.to_numpy', 'x.sort_values.tail']"
tigr-2d10,6,"['LinearRegression', 'abs', 'array.reshape', 'ax.set_ylabel', 'bigquery.Client', 'bigquery_client.query', 'cols_plot.data.plot', 'cols_plot.unemployment_claims_data.plot', 'data.corr', 'data.drop', 'data.head', 'data.plot', 'data.sample', 'data.set_index', 'data.shift', 'df.head', 'df1.plot', 'float', 'import', 'max', 'metrics.mean_absolute_error', 'metrics.mean_squared_error', 'min', 'model.fit', 'model.predict', 'np.DataFrame', 'np.cumsum', 'np.linspace', 'np.random.randn', 'np.sqrt', 'pd.DataFrame', 'pd.Series', 'pd.to_datetime', 'plt.figure', 'plt.grid', 'plt.legend', 'plt.plot', 'plt.scatter', 'plt.show', 'prediction_data.head', 'print', 'query_job.to_dataframe', 'regressor.fit', 'regressor.predict', 'sns.heatmap', 'sns.set', 'sum', 'train_test_split', 'unemployment_claim_data', 'unemployment_claims_data', 'unemployment_claims_data.corr', 'unemployment_claims_data.drop', 'unemployment_claims_data.drop_duplicates', 'unemployment_claims_data.duplicated', 'unemployment_claims_data.plot', 'unemployment_claims_data.set_index', 'unemployment_claims_data.values.reshape', 'unemployment_data.corr', 'unemployment_data.drop', 'unemployment_data.drop_duplicates', 'unemployment_data.duplicated', 'unemployment_data.head', 'unemployment_data.plot', 'unemployment_data.reshape', 'unemployment_data.set_index', 'unemplyment_data.drop', 'wage_data.head', 'y.flatten', 'y.plot', 'y_pred.flatten', 'y_pred.plot', 'y_test.flatten']"
